gender,department,jobtitle,number_count
Male,Engineering,"Programmer Analyst I",32
Male,"Business Development","Business Analyst",235
Male,Sales,"Solutions Engineer Manager",89
Female,Services,"Service Tech",119
Male,Engineering,"Developer III",35
Male,"Product Management","Quality Engineer",18
Female,Engineering,"Developer I",41
Male,Engineering,"Web Developer I",40
Male,Services,"Service Tech II",135
Male,"Business Development","Research Assistant II",302
Male,Engineering,"Analyst Programmer",150
Female,Accounting,"Staff Accountant III",31
Female,Legal,"Senior Attorney",13
Female,Engineering,"Data Visualization Specialist",152
Female,Marketing,"Senior Editor",61
Male,Engineering,"Software Consultant",138
Female,Accounting,"Financial Analyst",25
Female,Services,"Service Tech II",123
Female,"Business Development","Research Assistant II",279
Female,Training,"Trainer III",60
Female,Engineering,"Programmer III",34
Male,Training,"Training Manager",75
Female,Sales,"Pre-Sales Consultant",74
Female,Engineering,"Data Coordiator",130
Female,Training,"Administrative Assistant II",12
Female,"Human Resources","Human Resources Analyst",139
Female,"Research and Development",Operator,84
Male,Accounting,"Tax Accountant",135
Male,Engineering,"Senior Developer",134
Male,Services,"Service Coordinator",126
Male,Training,"Senior Trainer",78
Female,"Business Development","Research Assistant I",102
Male,Support,"Support Staff II",26
Female,Services,"Service Manager",132
Male,Engineering,"Systems Administrator I",169
Male,"Human Resources","Human Resources Analyst",176
Male,Training,"Content Developer III",21
Male,Training,"Assistant Trainer",69
Female,Training,"Trainer II",70
Male,"Human Resources",Recruiter,93
Male,"Business Development","Research Assistant I",124
Female,Training,"Support Staff",15
Male,Services,"Research Associate",6
Female,Engineering,"Senior Quality Engineer",12
Male,Sales,"Customer Success Manager",88
Female,Support,"Help Desk Technician",134
Male,Accounting,"Accounting Assistant III",31
Female,Engineering,"Senior Developer",143
Male,Engineering,"Software Engineer III",43
Male,Engineering,"Software Engineer I",152
Female,"Business Development","Business Analyst",206
Male,Sales,"Solutions Engineer",92
Male,Training,"Administrative Assistant I",80
Male,Engineering,"Software Engineer II",40
Female,Training,"Assistant Trainer",67
Male,"Product Management","Project Manager",148
Male,"Research and Development","Research Assistant I",73
Male,Engineering,"Data Coordiator",142
Male,Sales,"Relationshiop Manager",88
Male,Engineering,"Automation Specialist I",9
Female,Support,"Support Staff",15
