year,hires,termination,net_change,net_percent_change
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,201,886,81.51
2005,1038,189,849,81.79
2006,1069,183,886,82.88
2007,1058,153,905,85.54
2008,1061,145,916,86.33
2009,1094,154,940,85.92
2010,1050,138,912,86.86
2011,1057,120,937,88.65
2012,1059,118,941,88.86
2013,1042,98,944,90.60
2014,1014,91,923,91.03
2015,1011,92,919,90.90
2016,1076,73,1003,93.22
2017,1043,63,980,93.96
2018,1090,55,1035,94.95
2019,1038,55,983,94.70
2020,967,38,929,96.07
